N,pair,A_us,B_us,par_us,par_over_max,par_over_sum,verdict
4194304,HtoD||DtoH,673.8,646.1,978.8,1.453,0.742,mixed
4194304,HtoD||HtoD,673.8,673.8,1339.4,1.988,0.994,serial
4194304,DtoH||DtoH,646.1,646.1,1284.1,1.987,0.994,serial
4194304,C||HtoD,331.6,673.8,744.4,1.105,0.740,parallel
4194304,C||DtoH,331.6,646.1,717.8,1.111,0.734,parallel
4194304,C||C,331.6,331.6,596.9,1.800,0.900,serial
16777216,HtoD||DtoH,2672.6,2560.0,3920.7,1.467,0.749,mixed
16777216,HtoD||HtoD,2672.6,2672.6,5323.8,1.992,0.996,serial
16777216,DtoH||DtoH,2560.0,2560.0,5110.8,1.996,0.998,serial
16777216,C||HtoD,2292.7,2672.6,2756.6,1.031,0.555,parallel
16777216,C||DtoH,2292.7,2560.0,2668.5,1.042,0.550,parallel
16777216,C||C,2292.7,2292.7,9266.2,4.042,2.021,serial
67108864,HtoD||DtoH,10638.3,10211.3,15617.0,1.468,0.749,mixed
67108864,HtoD||HtoD,10638.3,10638.3,21674.0,2.037,1.019,serial
67108864,DtoH||DtoH,10211.3,10211.3,20411.4,1.999,0.999,serial
67108864,C||HtoD,18587.6,10638.3,18887.7,1.016,0.646,parallel
67108864,C||DtoH,18587.6,10211.3,18870.3,1.015,0.655,parallel
67108864,C||C,18587.6,18587.6,37215.2,2.002,1.001,serial
