git_commit,timestamp,gpu_model,gpu_memory,driver_version,cuda_runtime,nvcc_version,clock_state,power_mode,case,N,k,provisioned,warmup,reps,statistic,latency_us,score3
f363684,2026-08-23T05:18:13Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,cap-htod,4194304,32,1,5,21,median,673.8,
f363684,2026-08-23T05:18:13Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,cap-dtoh,4194304,32,1,5,21,median,646.1,
f363684,2026-08-23T05:18:13Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,cap-htod-dtoh-seq,4194304,32,1,5,21,median,1313.7,
f363684,2026-08-23T05:18:13Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,cap-htod-dtoh-event,4194304,32,1,5,21,median,1317.8,
f363684,2026-08-23T05:18:13Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,cap-htod-dtoh-par,4194304,32,1,5,21,median,978.8,
f363684,2026-08-23T05:18:13Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,cap-htod-htod-par,4194304,32,1,5,21,median,1339.4,
f363684,2026-08-23T05:18:13Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,cap-dtoh-dtoh-par,4194304,32,1,5,21,median,1284.1,
f363684,2026-08-23T05:18:13Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,cap-compute,4194304,32,1,5,21,median,331.6,
f363684,2026-08-23T05:18:13Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,cap-compute-htod,4194304,32,1,5,21,median,744.4,
f363684,2026-08-23T05:18:13Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,cap-compute-dtoh,4194304,32,1,5,21,median,717.8,
f363684,2026-08-23T05:18:13Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,cap-compute-compute,4194304,32,1,5,21,median,596.9,
f363684,2026-08-23T05:18:20Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,cap-htod,16777216,32,1,5,21,median,2672.6,
f363684,2026-08-23T05:18:20Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,cap-dtoh,16777216,32,1,5,21,median,2560.0,
f363684,2026-08-23T05:18:20Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,cap-htod-dtoh-seq,16777216,32,1,5,21,median,5219.3,
f363684,2026-08-23T05:18:20Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,cap-htod-dtoh-event,16777216,32,1,5,21,median,5221.5,
