git_commit,timestamp,gpu_model,gpu_memory,driver_version,cuda_runtime,nvcc_version,clock_state,power_mode,case,N,k,provisioned,warmup,reps,statistic,latency_us,score3
fd5088f,2026-08-24T02:24:25Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,val-async-copy,4194304,35,1,5,21,median,669.8,
fd5088f,2026-08-24T02:24:25Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,val-async-compute,4194304,35,1,5,21,median,397.8,
fd5088f,2026-08-24T02:24:25Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,val-async-life-sync,4194304,35,1,5,21,median,1903.7,
fd5088f,2026-08-24T02:24:25Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,val-async-life-async,4194304,35,1,5,21,median,1924.5,
fd5088f,2026-08-24T02:24:25Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,val-async-hb,4194304,35,1,5,21,median,1931.9,
fd5088f,2026-08-24T02:24:33Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,val-async-copy,16777216,42,1,5,21,median,2659.0,
fd5088f,2026-08-24T02:24:33Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,val-async-compute,16777216,42,1,5,21,median,2930.4,
fd5088f,2026-08-24T02:24:33Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,val-async-life-sync,16777216,42,1,5,21,median,8491.9,
fd5088f,2026-08-24T02:24:33Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,val-async-life-async,16777216,42,1,5,21,median,9186.2,
fd5088f,2026-08-24T02:24:33Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,val-async-hb,16777216,42,1,5,21,median,9182.0,
fd5088f,2026-08-24T02:25:03Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,val-async-copy,67108864,20,1,5,21,median,10611.1,
fd5088f,2026-08-24T02:25:03Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,val-async-compute,67108864,20,1,5,21,median,11597.1,
fd5088f,2026-08-24T02:25:03Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,val-async-life-sync,67108864,20,1,5,21,median,33439.9,
fd5088f,2026-08-24T02:25:03Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,val-async-life-async,67108864,20,1,5,21,median,38399.9,
fd5088f,2026-08-24T02:25:03Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,val-async-hb,67108864,20,1,5,21,median,38402.9,
