git_commit,timestamp,gpu_model,gpu_memory,driver_version,cuda_runtime,nvcc_version,clock_state,power_mode,case,N,k,provisioned,warmup,reps,statistic,latency_us,score3
9521f859aad990a49ba9035796e471f2a14992a1,2026-08-24T03:09:12Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,val-d2d-htod,4194304,1,1,5,21,median,670.1,
9521f859aad990a49ba9035796e471f2a14992a1,2026-08-24T03:09:12Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,val-d2d-d2d,4194304,1,1,5,21,median,17.9,
9521f859aad990a49ba9035796e471f2a14992a1,2026-08-24T03:09:13Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,val-d2d-d2d-d2d,4194304,1,1,5,21,median,58.1,
9521f859aad990a49ba9035796e471f2a14992a1,2026-08-24T03:09:13Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,val-d2d-compute-htod,4194304,32,1,5,21,median,364.8,
9521f859aad990a49ba9035796e471f2a14992a1,2026-08-24T03:09:14Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,val-d2d-ovl-htod,4194304,32,1,5,21,median,738.2,
9521f859aad990a49ba9035796e471f2a14992a1,2026-08-24T03:09:14Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,val-d2d-compute-d2d,4194304,1,1,5,21,median,18.6,
9521f859aad990a49ba9035796e471f2a14992a1,2026-08-24T03:09:15Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,val-d2d-ovl-d2d,4194304,1,1,5,21,median,28.1,
9521f859aad990a49ba9035796e471f2a14992a1,2026-08-24T03:09:20Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,val-d2d-htod,16777216,1,1,5,21,median,2659.3,
9521f859aad990a49ba9035796e471f2a14992a1,2026-08-24T03:09:21Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,val-d2d-d2d,16777216,1,1,5,21,median,108.1,
9521f859aad990a49ba9035796e471f2a14992a1,2026-08-24T03:09:23Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,val-d2d-d2d-d2d,16777216,1,1,5,21,median,249.3,
9521f859aad990a49ba9035796e471f2a14992a1,2026-08-24T03:09:24Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,val-d2d-compute-htod,16777216,49,1,5,21,median,3406.1,
9521f859aad990a49ba9035796e471f2a14992a1,2026-08-24T03:09:26Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,val-d2d-ovl-htod,16777216,49,1,5,21,median,3481.3,
9521f859aad990a49ba9035796e471f2a14992a1,2026-08-24T03:09:27Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,val-d2d-compute-d2d,16777216,2,1,5,21,median,118.5,
9521f859aad990a49ba9035796e471f2a14992a1,2026-08-24T03:09:28Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,val-d2d-ovl-d2d,16777216,2,1,5,21,median,339.5,
9521f859aad990a49ba9035796e471f2a14992a1,2026-08-24T03:09:48Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,val-d2d-htod,67108864,1,1,5,21,median,10610.5,
9521f859aad990a49ba9035796e471f2a14992a1,2026-08-24T03:09:53Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,val-d2d-d2d,67108864,1,1,5,21,median,547.3,
9521f859aad990a49ba9035796e471f2a14992a1,2026-08-24T03:09:58Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,val-d2d-d2d-d2d,67108864,1,1,5,21,median,1132.9,
9521f859aad990a49ba9035796e471f2a14992a1,2026-08-24T03:10:03Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,val-d2d-compute-htod,67108864,20,1,5,21,median,11601.9,
