git_commit,timestamp,gpu_model,gpu_memory,driver_version,cuda_runtime,nvcc_version,clock_state,power_mode,case,N,k,provisioned,warmup,reps,statistic,latency_us,score3
616cca2,2026-08-24T01:54:23Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,unavailable,pstate=P8 sm=210 mem=405,limit_w=450.00,val-htod-pinned,4194304,31,1,5,21,median,670.9,
616cca2,2026-08-24T01:54:23Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,unavailable,pstate=P8 sm=210 mem=405,limit_w=450.00,val-htod-pageable,4194304,31,1,5,21,median,1280.1,
616cca2,2026-08-24T01:54:23Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,unavailable,pstate=P8 sm=210 mem=405,limit_w=450.00,val-dtoh-pinned,4194304,31,1,5,21,median,649.3,
616cca2,2026-08-24T01:54:23Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,unavailable,pstate=P8 sm=210 mem=405,limit_w=450.00,val-dtoh-pageable,4194304,31,1,5,21,median,1897.9,
616cca2,2026-08-24T01:54:23Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,unavailable,pstate=P8 sm=210 mem=405,limit_w=450.00,val-compute-mem,4194304,31,1,5,21,median,353.9,
616cca2,2026-08-24T01:54:23Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,unavailable,pstate=P8 sm=210 mem=405,limit_w=450.00,val-ovl-htod-pin,4194304,31,1,5,21,median,734.3,
616cca2,2026-08-24T01:54:23Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,unavailable,pstate=P8 sm=210 mem=405,limit_w=450.00,val-ovl-htod-page,4194304,31,1,5,21,median,1316.4,
616cca2,2026-08-24T01:54:23Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,unavailable,pstate=P8 sm=210 mem=405,limit_w=450.00,val-ovl-dtoh-pin,4194304,31,1,5,21,median,712.8,
616cca2,2026-08-24T01:54:23Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,unavailable,pstate=P8 sm=210 mem=405,limit_w=450.00,val-ovl-dtoh-page,4194304,31,1,5,21,median,1957.9,
616cca2,2026-08-24T01:54:41Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,unavailable,pstate=P8 sm=210 mem=405,limit_w=450.00,val-htod-pinned,16777216,20,1,5,21,median,2659.7,
616cca2,2026-08-24T01:54:41Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,unavailable,pstate=P8 sm=210 mem=405,limit_w=450.00,val-htod-pageable,16777216,20,1,5,21,median,6162.2,
616cca2,2026-08-24T01:54:41Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,unavailable,pstate=P8 sm=210 mem=405,limit_w=450.00,val-dtoh-pinned,16777216,20,1,5,21,median,2566.4,
616cca2,2026-08-24T01:54:41Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,unavailable,pstate=P8 sm=210 mem=405,limit_w=450.00,val-dtoh-pageable,16777216,20,1,5,21,median,6934.9,
616cca2,2026-08-24T01:54:41Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,unavailable,pstate=P8 sm=210 mem=405,limit_w=450.00,val-compute-mem,16777216,20,1,5,21,median,1456.6,
616cca2,2026-08-24T01:54:41Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,unavailable,pstate=P8 sm=210 mem=405,limit_w=450.00,val-ovl-htod-pin,16777216,20,1,5,21,median,2718.0,
616cca2,2026-08-24T01:54:41Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,unavailable,pstate=P8 sm=210 mem=405,limit_w=450.00,val-ovl-htod-page,16777216,20,1,5,21,median,6261.3,
616cca2,2026-08-24T01:54:41Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,unavailable,pstate=P8 sm=210 mem=405,limit_w=450.00,val-ovl-dtoh-pin,16777216,20,1,5,21,median,2699.7,
616cca2,2026-08-24T01:54:41Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,unavailable,pstate=P8 sm=210 mem=405,limit_w=450.00,val-ovl-dtoh-page,16777216,20,1,5,21,median,6990.0,
616cca2,2026-08-24T01:55:56Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,unavailable,pstate=P8 sm=210 mem=405,limit_w=450.00,val-htod-pinned,67108864,20,1,5,21,median,10620.0,
616cca2,2026-08-24T01:55:56Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,unavailable,pstate=P8 sm=210 mem=405,limit_w=450.00,val-htod-pageable,67108864,20,1,5,21,median,24814.7,
616cca2,2026-08-24T01:55:56Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,unavailable,pstate=P8 sm=210 mem=405,limit_w=450.00,val-dtoh-pinned,67108864,20,1,5,21,median,10233.1,
616cca2,2026-08-24T01:55:56Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,unavailable,pstate=P8 sm=210 mem=405,limit_w=450.00,val-dtoh-pageable,67108864,20,1,5,21,median,30686.6,
616cca2,2026-08-24T01:55:56Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,unavailable,pstate=P8 sm=210 mem=405,limit_w=450.00,val-compute-mem,67108864,20,1,5,21,median,11602.3,
616cca2,2026-08-24T01:55:56Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,unavailable,pstate=P8 sm=210 mem=405,limit_w=450.00,val-ovl-htod-pin,67108864,20,1,5,21,median,11918.9,
616cca2,2026-08-24T01:55:56Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,unavailable,pstate=P8 sm=210 mem=405,limit_w=450.00,val-ovl-htod-page,67108864,20,1,5,21,median,24776.9,
616cca2,2026-08-24T01:55:56Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,unavailable,pstate=P8 sm=210 mem=405,limit_w=450.00,val-ovl-dtoh-pin,67108864,20,1,5,21,median,11973.9,
616cca2,2026-08-24T01:55:56Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,unavailable,pstate=P8 sm=210 mem=405,limit_w=450.00,val-ovl-dtoh-page,67108864,20,1,5,21,median,30695.3,
