N,k,T_seq_us,T_ovl_us,T_copy_us,T_compute_us,ratio,gain_us,ideal_us,hidden_frac,seq_over_sum,ovl_over_max
4194304,1,686.1,675.8,670.7,18.4,0.027,10.3,18.4,0.560,0.996,1.008
4194304,8,766.0,689.2,670.8,96.4,0.144,76.8,96.4,0.797,0.998,1.027
4194304,32,1032.1,736.3,670.8,362.5,0.540,295.8,362.5,0.816,0.999,1.098
4194304,64,1389.6,799.7,670.7,719.9,1.073,589.9,670.7,0.880,0.999,1.111
16777216,1,2785.3,2670.6,2667.5,62.5,0.023,114.7,62.5,1.835,1.020,1.001
16777216,8,3273.7,2692.1,2663.4,553.0,0.208,581.6,553.0,1.052,1.018,1.011
16777216,32,4954.1,2749.4,2664.4,2231.3,0.837,2204.7,2231.3,0.988,1.012,1.032
16777216,64,7192.6,4541.6,2665.5,4468.6,1.676,2651.0,2665.5,0.995,1.008,1.016
67108864,1,11158.5,10655.7,10638.3,533.5,0.050,502.8,533.5,0.942,0.999,1.002
67108864,8,15232.0,10699.8,10637.3,4608.0,0.433,4532.2,4608.0,0.984,0.999,1.006
67108864,32,29204.5,18883.5,10629.2,18577.4,1.748,10321.0,10629.2,0.971,1.000,1.016
67108864,64,47837.2,37514.2,10627.1,37208.1,3.501,10323.0,10627.1,0.971,1.000,1.008
