git_commit,timestamp,gpu_model,gpu_memory,driver_version,cuda_runtime,nvcc_version,clock_state,power_mode,case,N,k,provisioned,warmup,reps,statistic,latency_us,score3
315389e7c7462f2a2be6b4a2240c7b29304902f4,2026-08-23T04:49:27Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,matched-seq,4194304,1,1,5,21,median,686.1,
315389e7c7462f2a2be6b4a2240c7b29304902f4,2026-08-23T04:49:27Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,matched-ovl,4194304,1,1,5,21,median,675.8,
315389e7c7462f2a2be6b4a2240c7b29304902f4,2026-08-23T04:49:27Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,matched-copy,4194304,1,1,5,21,median,670.7,
315389e7c7462f2a2be6b4a2240c7b29304902f4,2026-08-23T04:49:27Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,matched-compute,4194304,1,1,5,21,median,18.4,
315389e7c7462f2a2be6b4a2240c7b29304902f4,2026-08-23T04:49:27Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,matched-seq,4194304,8,1,5,21,median,766.0,
315389e7c7462f2a2be6b4a2240c7b29304902f4,2026-08-23T04:49:27Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,matched-ovl,4194304,8,1,5,21,median,689.2,
315389e7c7462f2a2be6b4a2240c7b29304902f4,2026-08-23T04:49:27Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,matched-copy,4194304,8,1,5,21,median,670.8,
315389e7c7462f2a2be6b4a2240c7b29304902f4,2026-08-23T04:49:27Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,matched-compute,4194304,8,1,5,21,median,96.4,
315389e7c7462f2a2be6b4a2240c7b29304902f4,2026-08-23T04:49:28Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,matched-seq,4194304,32,1,5,21,median,1032.1,
315389e7c7462f2a2be6b4a2240c7b29304902f4,2026-08-23T04:49:28Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,matched-ovl,4194304,32,1,5,21,median,736.3,
