N,k,r_target,r_achieved,T_seq_us,T_ovl_us,T_copy_us,T_compute_us,ovl_over_max,ovl_over_sum,hidden_frac,dominance,overlap
4194304,1,0.01,0.027,686.1,675.8,671.7,18.4,1.006,0.979,0.560,copy-dominated,underdetermined
4194304,4,0.1,0.078,718.8,682.0,671.7,52.2,1.015,0.942,0.705,copy-dominated,underdetermined
4194304,11,0.3,0.194,797.7,695.3,671.7,130.0,1.035,0.867,0.788,copy-dominated,parallel
4194304,37,1.0,0.623,1087.5,743.4,671.7,418.8,1.107,0.682,0.822,balanced,parallel
4194304,110,3.0,1.877,1924.1,1257.5,671.7,1260.5,0.998,0.651,0.992,balanced,parallel
4194304,365,10.0,6.295,5324.8,4228.1,671.7,4228.1,1.000,0.863,1.633,compute-dominated,parallel
4194304,1095,30.0,18.913,13369.2,12705.8,671.7,12703.7,1.000,0.950,0.988,compute-dominated,underdetermined
16777216,1,0.01,0.024,2784.3,2670.6,2662.4,63.5,1.003,0.980,1.791,copy-dominated,underdetermined
16777216,4,0.1,0.102,2991.1,2676.9,2662.4,272.4,1.005,0.912,1.153,copy-dominated,underdetermined
16777216,13,0.3,0.339,3622.9,2705.4,2662.4,902.1,1.016,0.759,1.017,balanced,parallel
16777216,43,1.0,1.127,5722.1,3077.1,2662.4,3001.3,1.025,0.543,0.993,balanced,parallel
16777216,128,3.0,3.361,11670.5,9022.5,2662.4,8947.7,1.008,0.777,0.995,compute-dominated,parallel
16777216,426,10.0,11.190,32516.1,29867.0,2662.4,29792.1,1.003,0.920,0.995,compute-dominated,underdetermined
16777216,1278,30.0,33.575,92106.8,89473.0,2662.4,89391.1,1.001,0.972,0.989,compute-dominated,underdetermined
67108864,1,0.01,0.050,11148.3,10642.4,10622.0,535.6,1.002,0.954,0.945,copy-dominated,underdetermined
67108864,2,0.1,0.105,11730.9,10657.8,10622.0,1118.2,1.003,0.908,0.960,copy-dominated,underdetermined
67108864,6,0.3,0.324,14058.5,10680.5,10622.0,3445.8,1.006,0.759,0.980,balanced,parallel
67108864,20,1.0,1.091,22207.5,11905.1,10622.0,11592.7,1.027,0.536,0.970,balanced,parallel
67108864,59,3.0,3.229,44908.6,34605.1,10622.0,34296.8,1.009,0.770,0.970,compute-dominated,parallel
67108864,198,10.0,10.845,125792.3,115492.9,10622.0,115190.8,1.003,0.918,0.970,compute-dominated,underdetermined
67108864,593,30.0,32.485,355659.8,345361.4,10622.0,345057.3,1.001,0.971,0.970,compute-dominated,underdetermined
