git_commit,timestamp,gpu_model,gpu_memory,driver_version,cuda_runtime,nvcc_version,clock_state,power_mode,case,N,k,provisioned,warmup,reps,statistic,latency_us,score3
e9f3d73,2026-08-24T00:41:51Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,phase-copy,4194304,1,1,5,21,median,671.7,
e9f3d73,2026-08-24T00:41:51Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,phase-seq,4194304,1,1,5,21,median,686.1,
e9f3d73,2026-08-24T00:41:51Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,phase-ovl,4194304,1,1,5,21,median,675.8,
e9f3d73,2026-08-24T00:41:51Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,phase-compute,4194304,1,1,5,21,median,18.4,
e9f3d73,2026-08-24T00:41:52Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,phase-seq,4194304,4,1,5,21,median,718.8,
e9f3d73,2026-08-24T00:41:52Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,phase-ovl,4194304,4,1,5,21,median,682.0,
e9f3d73,2026-08-24T00:41:52Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,phase-compute,4194304,4,1,5,21,median,52.2,
e9f3d73,2026-08-24T00:41:52Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,phase-seq,4194304,11,1,5,21,median,797.7,
e9f3d73,2026-08-24T00:41:52Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,phase-ovl,4194304,11,1,5,21,median,695.3,
e9f3d73,2026-08-24T00:41:52Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,phase-compute,4194304,11,1,5,21,median,130.0,
e9f3d73,2026-08-24T00:41:53Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,phase-seq,4194304,37,1,5,21,median,1087.5,
e9f3d73,2026-08-24T00:41:53Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,phase-ovl,4194304,37,1,5,21,median,743.4,
e9f3d73,2026-08-24T00:41:53Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,phase-compute,4194304,37,1,5,21,median,418.8,
