N,k,tiles,r_tile,T_copy_us,T_compute_us,T_d1_us,T_d2_us,T_d3_us,T_d4_us,speedup_d2,speedup_d3,speedup_d4,ideal,T_ideal_pipe_us,sat_d4_over_d2
4194304,15,4,0.404,175.1,70.7,978.0,758.8,757.8,757.8,1.289,1.291,1.291,1.404,771.1,0.999
4194304,8,8,0.333,95.2,31.7,971.8,733.2,733.2,733.2,1.325,1.325,1.325,1.333,793.3,1.000
4194304,5,16,0.388,50.3,19.5,1072.1,750.6,751.6,751.6,1.428,1.426,1.426,1.388,824.3,1.001
4194304,3,32,0.467,30.6,14.3,1272.8,812.0,811.0,811.0,1.567,1.569,1.569,1.467,993.5,0.999
16777216,28,4,0.479,680.0,325.6,3968.0,3005.4,3002.4,3002.4,1.320,1.322,1.322,1.479,3045.6,0.999
16777216,16,8,0.339,347.1,117.8,3611.6,2812.9,2811.9,2811.9,1.284,1.284,1.284,1.339,2894.6,1.000
16777216,10,16,0.305,181.3,55.3,3559.4,2784.3,2783.2,2783.2,1.278,1.279,1.279,1.305,2956.1,1.000
16777216,6,32,0.313,98.3,30.8,3686.4,2826.2,2822.1,2823.2,1.304,1.306,1.306,1.313,3176.4,0.999
67108864,38,4,0.995,2669.6,2655.2,21232.6,13830.1,13777.9,13829.1,1.535,1.541,1.535,1.995,13333.6,1.000
67108864,37,8,0.574,1340.4,770.0,16538.6,11430.9,11463.7,11462.7,1.447,1.443,1.443,1.574,11493.2,1.003
67108864,26,16,0.446,677.9,302.1,15478.8,10998.8,10996.7,10997.8,1.407,1.408,1.407,1.446,11148.5,1.000
67108864,16,32,0.350,348.2,121.9,14422.0,10879.0,10891.3,10889.2,1.326,1.324,1.324,1.350,11264.3,1.001
