git_commit,timestamp,gpu_model,gpu_memory,driver_version,cuda_runtime,nvcc_version,clock_state,power_mode,case,N,k,provisioned,warmup,reps,statistic,latency_us,score3
cfff554,2026-08-24T01:14:07Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,unavailable,pstate=P8 sm=210 mem=405,limit_w=450.00,pipe-t4-copy,4194304,1,1,5,21,median,175.1,
cfff554,2026-08-24T01:14:08Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,unavailable,pstate=P8 sm=210 mem=405,limit_w=450.00,pipe-t4-d1,4194304,15,1,5,21,median,978.0,
cfff554,2026-08-24T01:14:08Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,unavailable,pstate=P8 sm=210 mem=405,limit_w=450.00,pipe-t4-d2,4194304,15,1,5,21,median,758.8,
cfff554,2026-08-24T01:14:08Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,unavailable,pstate=P8 sm=210 mem=405,limit_w=450.00,pipe-t4-d3,4194304,15,1,5,21,median,757.8,
cfff554,2026-08-24T01:14:08Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,unavailable,pstate=P8 sm=210 mem=405,limit_w=450.00,pipe-t4-d4,4194304,15,1,5,21,median,757.8,
cfff554,2026-08-24T01:14:08Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,unavailable,pstate=P8 sm=210 mem=405,limit_w=450.00,pipe-t4-compute,4194304,15,1,5,21,median,70.7,
cfff554,2026-08-24T01:14:09Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,unavailable,pstate=P8 sm=210 mem=405,limit_w=450.00,pipe-t8-copy,4194304,1,1,5,21,median,95.2,
cfff554,2026-08-24T01:14:10Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,unavailable,pstate=P8 sm=210 mem=405,limit_w=450.00,pipe-t8-d1,4194304,8,1,5,21,median,971.8,
cfff554,2026-08-24T01:14:10Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,unavailable,pstate=P8 sm=210 mem=405,limit_w=450.00,pipe-t8-d2,4194304,8,1,5,21,median,733.2,
cfff554,2026-08-24T01:14:10Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,unavailable,pstate=P8 sm=210 mem=405,limit_w=450.00,pipe-t8-d3,4194304,8,1,5,21,median,733.2,
cfff554,2026-08-24T01:14:10Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,unavailable,pstate=P8 sm=210 mem=405,limit_w=450.00,pipe-t8-d4,4194304,8,1,5,21,median,733.2,
cfff554,2026-08-24T01:14:10Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,unavailable,pstate=P8 sm=210 mem=405,limit_w=450.00,pipe-t8-compute,4194304,8,1,5,21,median,31.7,
cfff554,2026-08-24T01:14:10Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,unavailable,pstate=P8 sm=210 mem=405,limit_w=450.00,pipe-t16-copy,4194304,1,1,5,21,median,50.3,
cfff554,2026-08-24T01:14:11Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,unavailable,pstate=P8 sm=210 mem=405,limit_w=450.00,pipe-t16-d1,4194304,5,1,5,21,median,1072.1,
cfff554,2026-08-24T01:14:11Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,unavailable,pstate=P8 sm=210 mem=405,limit_w=450.00,pipe-t16-d2,4194304,5,1,5,21,median,750.6,
cfff554,2026-08-24T01:14:11Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,unavailable,pstate=P8 sm=210 mem=405,limit_w=450.00,pipe-t16-d3,4194304,5,1,5,21,median,751.6,
cfff554,2026-08-24T01:14:11Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,unavailable,pstate=P8 sm=210 mem=405,limit_w=450.00,pipe-t16-d4,4194304,5,1,5,21,median,751.6,
cfff554,2026-08-24T01:14:11Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,unavailable,pstate=P8 sm=210 mem=405,limit_w=450.00,pipe-t16-compute,4194304,5,1,5,21,median,19.5,
cfff554,2026-08-24T01:14:11Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,unavailable,pstate=P8 sm=210 mem=405,limit_w=450.00,pipe-t32-copy,4194304,1,1,5,21,median,30.6,
cfff554,2026-08-24T01:14:12Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,unavailable,pstate=P8 sm=210 mem=405,limit_w=450.00,pipe-t32-d1,4194304,3,1,5,21,median,1272.8,
cfff554,2026-08-24T01:14:12Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,unavailable,pstate=P8 sm=210 mem=405,limit_w=450.00,pipe-t32-d2,4194304,3,1,5,21,median,812.0,
cfff554,2026-08-24T01:14:12Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,unavailable,pstate=P8 sm=210 mem=405,limit_w=450.00,pipe-t32-d3,4194304,3,1,5,21,median,811.0,
cfff554,2026-08-24T01:14:12Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,unavailable,pstate=P8 sm=210 mem=405,limit_w=450.00,pipe-t32-d4,4194304,3,1,5,21,median,811.0,
cfff554,2026-08-24T01:14:12Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,unavailable,pstate=P8 sm=210 mem=405,limit_w=450.00,pipe-t32-compute,4194304,3,1,5,21,median,14.3,
