git_commit,timestamp,gpu_model,gpu_memory,driver_version,cuda_runtime,nvcc_version,clock_state,power_mode,case,N,k,provisioned,warmup,reps,statistic,latency_us,score3
3f9f443,2026-08-23T04:25:43Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,a,4194304,1,0,5,21,median,692.3,130
3f9f443,2026-08-23T04:25:43Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,b,4194304,1,0,5,21,median,1341.4,128
3f9f443,2026-08-23T04:25:43Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,c,4194304,1,0,5,21,median,1339.4,163
3f9f443,2026-08-23T04:25:43Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,a,4194304,1,1,5,21,median,18.4,130
3f9f443,2026-08-23T04:25:43Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,b,4194304,1,1,5,21,median,675.8,128
3f9f443,2026-08-23T04:25:43Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,c,4194304,1,1,5,21,median,665.6,163
3f9f443,2026-08-23T04:25:44Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,a,4194304,8,0,5,21,median,772.1,130
3f9f443,2026-08-23T04:25:44Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,b,4194304,8,0,5,21,median,1341.4,128
3f9f443,2026-08-23T04:25:44Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,c,4194304,8,0,5,21,median,1418.2,163
3f9f443,2026-08-23T04:25:44Z,NVIDIA GeForce RTX 4090,24564,570.124.06,12080,"Cuda compilation tools, release 12.8, V12.8.61",pstate=P8 sm=210 mem=405,limit_w=450.00,a,4194304,8,1,5,21,median,97.3,130
